# dynamical charge structure factor of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.66 S=1/2
# k, omega, N(k,omega)

0.035 0 0.00057325
0.035 0.05 0.00087577
0.035 0.1 0.00140398
0.035 0.15 0.00215621
0.035 0.2 0.00238835
0.035 0.25 0.00175985
0.035 0.3 0.00106966
0.035 0.35 0.000670802
0.035 0.4 0.000431594
0.035 0.45 0.00031046
0.035 0.5 0.000218117
0.035 0.55 0.000157224
0.035 0.6 0.000123926
0.035 0.65 9.2327e-05
0.035 0.7 8.212e-05
0.035 0.75 6.93373e-05
0.035 0.8 6.06383e-05
0.035 0.85 5.29498e-05
0.035 0.9 4.39759e-05
0.035 0.95 3.49973e-05
0.035 1 3.53138e-05
0.035 1.05 3.08037e-05
0.035 1.1 1.29087e-05
0.035 1.15 2.38736e-05
0.035 1.2 2.31324e-05
0.035 1.25 2.71535e-05
0.035 1.3 4.19787e-05
0.035 1.35 1.53262e-05
0.035 1.4 4.18483e-05
0.035 1.45 2.66972e-05
0.035 1.5 3.6854e-05
0.035 1.55 5.5487e-05
0.035 1.6 4.97228e-05
0.035 1.65 3.64483e-05
0.035 1.7 7.36167e-05
0.035 1.75 1.70799e-05
0.035 1.8 3.03407e-05
0.035 1.85 3.59784e-05
0.035 1.9 0.000102115
0.035 1.95 0.000131784
0.035 2 3.80938e-05
0.035 2.05 2.38365e-05
0.035 2.1 1.41842e-05
0.035 2.15 6.28534e-06
0.035 2.2 2.40047e-05
0.035 2.25 1.75058e-06
0.035 2.3 0.000141601
0.035 2.35 9.76204e-05
0.035 2.4 0.000166054
0.035 2.45 3.2283e-05
0.035 2.5 0.000138557
0.035 2.55 0.000176658
0.035 2.6 6.16084e-05
0.035 2.65 0.00014455
0.035 2.7 0.000145079
0.035 2.75 0.000159703
0.035 2.8 0.00011057
0.035 2.85 0.000144836
0.035 2.9 0.000195436
0.035 2.95 0.000127848
0.035 3 0.000289073
0.035 3.05 9.58278e-05
0.035 3.1 0.000165359
0.035 3.15 0.000440879
0.035 3.2 6.35378e-05
0.035 3.25 0.000128661
0.035 3.3 0.000183447
0.035 3.35 0.000147725
0.035 3.4 1.03178e-05
0.035 3.45 7.06003e-05
0.035 3.5 0.000610766
0.035 3.55 7.05918e-05
0.035 3.6 0.000134601
0.035 3.65 0.000179799
0.035 3.7 4.60589e-05
0.035 3.75 5.8247e-05
0.035 3.8 0.00050435
0.035 3.85 0.000201754
0.035 3.9 5.85841e-05
0.035 3.95 0.000279242
0.035 4 4.96017e-05
0.035 4.05 1.77732e-05
0.035 4.1 1.33171e-05
0.035 4.15 8.85154e-06
0.035 4.2 4.77919e-06
0.035 4.25 1.77631e-06
0.035 4.3 5.77686e-06
0.035 4.35 8.31588e-06
0.035 4.4 4.62625e-06
0.035 4.45 4.22328e-07
0.035 4.5 2.73422e-06
0.035 4.55 2.7958e-06
0.035 4.6 5.20696e-06
0.035 4.65 4.54284e-06
0.035 4.7 1.56476e-06
0.035 4.75 1.89998e-06
0.035 4.8 6.29107e-07
0.035 4.85 4.04624e-06
0.035 4.9 6.12651e-07
0.035 4.95 5.24105e-06
0.035 5 4.82974e-07
0.04 0 0.000510933
0.04 0.05 0.000765972
0.04 0.1 0.0012249
0.04 0.15 0.00198807
0.04 0.2 0.00272609
0.04 0.25 0.00247017
0.04 0.3 0.00160944
0.04 0.35 0.000977843
0.04 0.4 0.000621289
0.04 0.45 0.000425516
0.04 0.5 0.000300629
0.04 0.55 0.000208698
0.04 0.6 0.000163429
0.04 0.65 0.000122734
0.04 0.7 9.73659e-05
0.04 0.75 8.87408e-05
0.04 0.8 7.3908e-05
0.04 0.85 7.24419e-05
0.04 0.9 5.31515e-05
0.04 0.95 3.75285e-05
0.04 1 3.69146e-05
0.04 1.05 3.54387e-05
0.04 1.1 2.52442e-05
0.04 1.15 3.2133e-05
0.04 1.2 2.48281e-05
0.04 1.25 3.37379e-05
0.04 1.3 4.57581e-05
0.04 1.35 1.95373e-05
0.04 1.4 4.65612e-05
0.04 1.45 2.87515e-05
0.04 1.5 2.84991e-05
0.04 1.55 4.63916e-05
0.04 1.6 4.11692e-05
0.04 1.65 3.40949e-05
0.04 1.7 8.3241e-05
0.04 1.75 1.15204e-05
0.04 1.8 4.19696e-05
0.04 1.85 1.1681e-05
0.04 1.9 0.000100666
0.04 1.95 0.000111004
0.04 2 5.1955e-05
0.04 2.05 1.75212e-05
0.04 2.1 3.13856e-06
0.04 2.15 3.69635e-05
0.04 2.2 2.05317e-05
0.04 2.25 7.47951e-06
0.04 2.3 0.000166869
0.04 2.35 9.67086e-05
0.04 2.4 0.000145597
0.04 2.45 1.71188e-05
0.04 2.5 0.000114676
0.04 2.55 0.000189909
0.04 2.6 4.72441e-05
0.04 2.65 0.00015677
0.04 2.7 0.000129282
0.04 2.75 0.000171197
0.04 2.8 0.000119092
0.04 2.85 0.000167274
0.04 2.9 0.000185299
0.04 2.95 0.000125757
0.04 3 0.000235756
0.04 3.05 9.23707e-05
0.04 3.1 0.000226092
0.04 3.15 0.000429296
0.04 3.2 8.00985e-05
0.04 3.25 0.000153265
0.04 3.3 0.000160396
0.04 3.35 0.000182992
0.04 3.4 3.01251e-05
0.04 3.45 4.242e-05
0.04 3.5 0.000510184
0.04 3.55 8.36332e-05
0.04 3.6 0.000189617
